perturbation,mean_uncertainty,max_predicted_effect
MAP2K6_SPI1,0.008203504607081413,0.1949150264263153
MAP4K3,0.004354732111096382,0.29106760025024414
MAP4K5,0.0035529546439647675,0.2162724733352661
MAP7D1,0.00448157824575901,0.2870296835899353
MAPK1,0.004568960051983595,0.25942936539649963
MAPK1_IKZF3,0.00818226020783186,2.6859488487243652
MAPK1_PRTG,0.008389909751713276,0.218733549118042
MAPK1_TGFBR2,0.0064121391624212265,0.574972927570343
MEIS1,0.0040543233044445515,0.32316842675209045
MIDN,0.004653149750083685,0.7913236618041992
NCL,0.009421033784747124,0.20247873663902283
NIT1,0.00891077145934105,0.652063250541687
OSR2,0.007622517179697752,1.08665931224823
PLK4,0.003988501150161028,0.20538821816444397
PLK4_STIL,0.003644544631242752,0.5022560358047485
POU3F2,0.0057843648828566074,0.4669795036315918
POU3F2_CBFA2T3,0.009583898819983006,0.4716872572898865
POU3F2_FOXL2,0.010345838032662868,0.681902289390564
PRDM1,0.004822253715246916,2.175783157348633
PRDM1_CBFA2T3,0.011147184297442436,1.431931734085083
PRTG,0.008337023667991161,0.24011583626270294
PTPN1,0.004965741187334061,1.7869303226470947
PTPN12,0.003924962133169174,1.2412946224212646
PTPN12_OSR2,0.0041921548545360565,0.9630905985832214
PTPN12_PTPN9,0.005685119424015284,2.0831665992736816
PTPN12_SNAI1,0.00471454719081521,0.4765869975090027
PTPN12_UBASH3A,0.006757961120456457,2.0020203590393066
PTPN12_ZBTB25,0.004087591543793678,2.329071521759033
PTPN13,0.0043127816170454025,0.28207293152809143
PTPN9,0.004542734939604998,0.452980101108551
RHOXF2,0.004915341269224882,0.23960313200950623
RHOXF2_SET,0.010882287286221981,0.8754709362983704
RHOXF2_ZBTB25,0.00470384769141674,1.0660970211029053
RREB1,0.005411084275692701,1.0184131860733032
RUNX1T1,0.0054082409478724,0.3078230023384094
S1PR2,0.007591103669255972,1.1541937589645386
SAMD1,0.004295140039175749,1.1856098175048828
SAMD1_PTPN12,0.005729677155613899,2.2933883666992188
SAMD1_TGFBR2,0.007211529184132814,1.5307252407073975
SAMD1_UBASH3B,0.004912559408694506,1.9389212131500244
SAMD1_ZBTB1,0.006614527199417353,1.855041265487671
SET,0.010156814940273762,0.853641152381897
SET_CEBPE,0.014175782911479473,0.7463135719299316
SET_KLF1,0.014556906186044216,1.2063844203948975
SGK1,0.00711356196552515,0.7541303038597107
SGK1_S1PR2,0.0035499967634677887,1.106338620185852
SGK1_TBX2,0.007290315814316273,1.8175151348114014
SGK1_TBX3,0.01719525083899498,2.4279868602752686
SLC38A2,0.0041322773322463036,0.32019495964050293
SLC4A1,0.007928607054054737,0.19612687826156616
SLC6A9,0.005966166965663433,0.7174477577209473
SNAI1,0.008333801291882992,0.5519572496414185
SNAI1_DLX2,0.010474223643541336,0.5485013723373413
SNAI1_UBASH3B,0.007850049994885921,0.5099976658821106
SPI1,0.008192436769604683,0.20069782435894012
STIL,0.0037022046744823456,0.23354387283325195
TBX2,0.009151048958301544,1.6996078491210938
TBX3,0.011039301753044128,2.702399253845215
TBX3_TBX2,0.013177117332816124,2.164368152618408
TGFBR2,0.006210485938936472,0.5920974016189575
TGFBR2_C19orf26,0.0062089175917208195,0.5920499563217163
TGFBR2_ETS2,0.00726718595251441,0.5368798971176147
TGFBR2_IGDCC3,0.006804752629250288,1.4162412881851196
TGFBR2_PRTG,0.008972027339041233,0.6442925333976746
TMSB4X,0.004700524732470512,1.891253113746643
TMSB4X_BAK1,0.0047272308729588985,1.9512790441513062
TP73,0.0034992240834981203,2.5142524242401123
TSC22D1,0.008397362194955349,0.19518551230430603
UBASH3A,0.0039912061765789986,0.21535566449165344
UBASH3B,0.0030630608089268208,0.7230175137519836
UBASH3B_CNN1,0.006163257639855146,2.687748432159424
UBASH3B_OSR2,0.0037264947313815355,1.030202031135559
UBASH3B_PTPN12,0.004952284041792154,2.3844425678253174
UBASH3B_PTPN9,0.004235449712723494,1.5439412593841553
UBASH3B_UBASH3A,0.00560023495927453,1.3285690546035767
UBASH3B_ZBTB25,0.003977274987846613,1.976925253868103
ZBTB1,0.006271505728363991,1.0416181087493896
ZBTB10,0.004520162474364042,0.7910105586051941
ZBTB10_DLX2,0.009171148762106895,0.7898751497268677
ZBTB10_ELMSAN1,0.011969838291406631,0.5886514782905579
ZBTB10_PTPN12,0.007577838841825724,0.8495998382568359
ZBTB10_SNAI1,0.016369210556149483,1.117130160331726
ZBTB25,0.003656272077932954,0.950224757194519
ZC3HAV1,0.004807638935744762,0.27828189730644226
ZC3HAV1_CEBPA,0.005276505835354328,1.6886961460113525
ZC3HAV1_CEBPE,0.009919995442032814,0.4510437548160553
ZC3HAV1_HOXC13,0.00495595159009099,0.27824896574020386
ZNF318,0.004804152529686689,0.3922750949859619
ZNF318_FOXL2,0.007280347868800163,0.5209970474243164
