candidate,gene_1,gene_2,effect,pathway_relevance,uncertainty,priority,experiment_priority_0_10
MAP2K3_RHOXF2,MAP2K3,RHOXF2,0.11935612,0.42857142857142855,0.00493715750053525,0.05090131425565196,0.8010568721219268
CELF2_FOXA1,CELF2,FOXA1,0.17916381,0.2857142857142857,0.006310817785561085,0.05086863831857285,0.8005426362061548
CBFA2T3_FOXF1,CBFA2T3,FOXF1,0.17900491,0.2857142857142857,0.006110787391662598,0.05083362583674496,0.7999916290349567
HNF4A_POU3F2,HNF4A,POU3F2,0.3595689,0.14285714285714285,0.010858711786568165,0.050815197262753915,0.7997016102789618
HK2_TBX3,HK2,TBX3,0.36081472,0.14285714285714285,0.014873968437314034,0.05078951836295547,0.7992974898853553
CBFA2T3_SLC4A1,CBFA2T3,SLC4A1,0.1791905,0.2857142857142857,0.009200365282595158,0.050730546603321325,0.7983694247851344
NIT1_TBX3,NIT1,TBX3,0.36170372,0.14285714285714285,0.019738903269171715,0.050671755641072076,0.7974442049746618
ARID1A_POU3F2,ARID1A,POU3F2,0.35977277,0.14285714285714285,0.014454714953899384,0.05066377973359355,0.7973186845320069
CBFA2T3_MAPK1,CBFA2T3,MAPK1,0.17841761,0.2857142857142857,0.0065740253776311874,0.05064352763324034,0.7969999681216337
CELF2_TBX3,CELF2,TBX3,0.35856473,0.14285714285714285,0.01228624302893877,0.050601827148082215,0.7963437088345166
FOXA1_ZNF318,FOXA1,ZNF318,0.17830542,0.2857142857142857,0.007177823223173618,0.050581341018427414,0.7960213093997843
CBFA2T3_MAP4K3,CBFA2T3,MAP4K3,0.17742601,0.2857142857142857,0.00607024971395731,0.05038728243329492,0.7929673221798496
GLB1L2_TBX3,GLB1L2,TBX3,0.3566741,0.14285714285714285,0.011410297825932503,0.050378608632725974,0.792830818679797
FEV_PTPN9,FEV,PTPN9,0.17797372,0.2857142857142857,0.009466664865612984,0.05037277141214497,0.7927389557145891
ARRDC3_FOXA1,ARRDC3,FOXA1,0.17756663,0.2857142857142857,0.0073874532245099545,0.050361281993075754,0.7925581415600497
HOXA13_TMSB4X,HOXA13,TMSB4X,0.3600842,0.14285714285714285,0.021470025181770325,0.05035938360386655,0.7925282657553826
CELF2_LYL1,CELF2,LYL1,0.1777481,0.2857142857142857,0.008784370496869087,0.05034294009642263,0.7922694868842991
BCL2L11_TBX3,BCL2L11,TBX3,0.3564369,0.14285714285714285,0.011454494670033455,0.0503429057748546,0.7922689467503491
MAP2K3_MAPK1,MAP2K3,MAPK1,0.117974654,0.42857142857142855,0.0045740422792732716,0.05033035276995591,0.79207139446733
MIDN_NIT1,MIDN,NIT1,0.35841587,0.14285714285714285,0.017463650554418564,0.05032343649866089,0.7919625499958001
CBFA2T3_HOXC13,CBFA2T3,HOXC13,0.17718819,0.2857142857142857,0.006073252763599157,0.050319592918274675,0.7919020618428525
CEBPB_MAP2K3,CEBPB,MAP2K3,0.3569611,0.14285714285714285,0.014120034873485565,0.05028442520445757,0.7913486117160342
HOXB9_SGK1,HOXB9,SGK1,0.3566949,0.14285714285714285,0.013677852228283882,0.05026884543897031,0.7911034259405366
CBFA2T3_SET,CBFA2T3,SET,0.35758346,0.14285714285714285,0.016776546835899353,0.050240489951833965,0.7906571828883661
AHR_LHX1,AHR,LHX1,0.35654578,0.14285714285714285,0.014479988254606724,0.050208098203268936,0.7901474193750363
RHOXF2_TBX3,RHOXF2,TBX3,0.35563883,0.14285714285714285,0.011975741945207119,0.05020431350462753,0.7900878578705851
CBFA2T3_HNF4A,CBFA2T3,HNF4A,0.35581973,0.14285714285714285,0.013026345521211624,0.050177757472365386,0.7896699336489622
